Bin Center,Bin Height,Detector,Resolution
326.5,72.0,V02160A,0.5841470998617991
327.5,71.0,V02160A,0.5841470998617991
328.5,65.0,V02160A,0.5841470998617991
329.5,68.0,V02160A,0.5841470998617991
330.5,62.0,V02160A,0.5841470998617991
331.5,46.0,V02160A,0.5841470998617991
332.5,81.0,V02160A,0.5841470998617991
333.5,61.0,V02160A,0.5841470998617991
334.5,68.0,V02160A,0.5841470998617991
335.5,70.0,V02160A,0.5841470998617991
336.5,56.0,V02160A,0.5841470998617991
337.5,75.0,V02160A,0.5841470998617991
338.5,58.0,V02160A,0.5841470998617991
339.5,64.0,V02160A,0.5841470998617991
340.5,47.0,V02160A,0.5841470998617991
341.5,61.0,V02160A,0.5841470998617991
342.5,50.0,V02160A,0.5841470998617991
343.5,66.0,V02160A,0.5841470998617991
344.5,61.0,V02160A,0.5841470998617991
345.5,63.0,V02160A,0.5841470998617991
346.5,46.0,V02160A,0.5841470998617991
347.5,56.0,V02160A,0.5841470998617991
348.5,58.0,V02160A,0.5841470998617991
349.5,65.0,V02160A,0.5841470998617991
350.5,63.0,V02160A,0.5841470998617991
351.5,110.0,V02160A,0.5841470998617991
352.5,66.0,V02160A,0.5841470998617991
353.5,58.0,V02160A,0.5841470998617991
354.5,55.0,V02160A,0.5841470998617991
355.5,51.0,V02160A,0.5841470998617991
356.5,59.0,V02160A,0.5841470998617991
357.5,48.0,V02160A,0.5841470998617991
358.5,50.0,V02160A,0.5841470998617991
359.5,34.0,V02160A,0.5841470998617991
360.5,43.0,V02160A,0.5841470998617991
361.5,48.0,V02160A,0.5841470998617991
362.5,45.0,V02160A,0.5841470998617991
363.5,56.0,V02160A,0.5841470998617991
364.5,45.0,V02160A,0.5841470998617991
365.5,39.0,V02160A,0.5841470998617991
366.5,38.0,V02160A,0.5841470998617991
367.5,38.0,V02160A,0.5841470998617991
368.5,41.0,V02160A,0.5841470998617991
369.5,51.0,V02160A,0.5841470998617991
370.5,41.0,V02160A,0.5841470998617991
371.5,46.0,V02160A,0.5841470998617991
372.5,36.0,V02160A,0.5841470998617991
373.5,43.0,V02160A,0.5841470998617991
374.5,39.0,V02160A,0.5841470998617991
375.5,31.0,V02160A,0.5841470998617991
376.5,45.0,V02160A,0.5841470998617991
377.5,44.0,V02160A,0.5841470998617991
378.5,44.0,V02160A,0.5841470998617991
379.5,37.0,V02160A,0.5841470998617991
380.5,47.0,V02160A,0.5841470998617991
381.5,39.0,V02160A,0.5841470998617991
382.5,33.0,V02160A,0.5841470998617991
383.5,46.0,V02160A,0.5841470998617991
384.5,36.0,V02160A,0.5841470998617991
385.5,44.0,V02160A,0.5841470998617991
386.5,28.0,V02160A,0.5841470998617991
387.5,49.0,V02160A,0.5841470998617991
388.5,41.0,V02160A,0.5841470998617991
389.5,35.0,V02160A,0.5841470998617991
390.5,29.0,V02160A,0.5841470998617991
391.5,31.0,V02160A,0.5841470998617991
392.5,23.0,V02160A,0.5841470998617991
393.5,28.0,V02160A,0.5841470998617991
394.5,34.0,V02160A,0.5841470998617991
395.5,38.0,V02160A,0.5841470998617991
396.5,33.0,V02160A,0.5841470998617991
397.5,42.0,V02160A,0.5841470998617991
398.5,36.0,V02160A,0.5841470998617991
399.5,22.0,V02160A,0.5841470998617991
400.5,31.0,V02160A,0.5841470998617991
401.5,30.0,V02160A,0.5841470998617991
402.5,40.0,V02160A,0.5841470998617991
403.5,32.0,V02160A,0.5841470998617991
404.5,37.0,V02160A,0.5841470998617991
405.5,36.0,V02160A,0.5841470998617991
406.5,30.0,V02160A,0.5841470998617991
407.5,30.0,V02160A,0.5841470998617991
408.5,26.0,V02160A,0.5841470998617991
409.5,34.0,V02160A,0.5841470998617991
410.5,39.0,V02160A,0.5841470998617991
411.5,24.0,V02160A,0.5841470998617991
412.5,26.0,V02160A,0.5841470998617991
413.5,27.0,V02160A,0.5841470998617991
414.5,27.0,V02160A,0.5841470998617991
415.5,34.0,V02160A,0.5841470998617991
416.5,33.0,V02160A,0.5841470998617991
417.5,23.0,V02160A,0.5841470998617991
418.5,27.0,V02160A,0.5841470998617991
419.5,21.0,V02160A,0.5841470998617991
420.5,32.0,V02160A,0.5841470998617991
421.5,29.0,V02160A,0.5841470998617991
422.5,27.0,V02160A,0.5841470998617991
423.5,27.0,V02160A,0.5841470998617991
424.5,30.0,V02160A,0.5841470998617991
425.5,16.0,V02160A,0.5841470998617991
426.5,24.0,V02160A,0.5841470998617991
427.5,24.0,V02160A,0.5841470998617991
428.5,32.0,V02160A,0.5841470998617991
429.5,28.0,V02160A,0.5841470998617991
430.5,26.0,V02160A,0.5841470998617991
431.5,31.0,V02160A,0.5841470998617991
432.5,31.0,V02160A,0.5841470998617991
433.5,28.0,V02160A,0.5841470998617991
434.5,23.0,V02160A,0.5841470998617991
435.5,19.0,V02160A,0.5841470998617991
436.5,26.0,V02160A,0.5841470998617991
437.5,30.0,V02160A,0.5841470998617991
438.5,35.0,V02160A,0.5841470998617991
439.5,24.0,V02160A,0.5841470998617991
440.5,30.0,V02160A,0.5841470998617991
441.5,30.0,V02160A,0.5841470998617991
442.5,30.0,V02160A,0.5841470998617991
443.5,20.0,V02160A,0.5841470998617991
444.5,22.0,V02160A,0.5841470998617991
445.5,22.0,V02160A,0.5841470998617991
446.5,19.0,V02160A,0.5841470998617991
